|Run	|Epoch	#UnitErr	#PctErr	#PctCor	#CosDiff	#PerTrlMSec	#V4 ActAvg	#V4 Hog	#V4 Dead	#V4 Gnmda	#V4 GgabaB	#IT ActAvg	#IT Hog	#IT Dead	#IT Gnmda	#IT GgabaB	#Output ActAvg	#Output Hog	#Output Dead	#Output Gnmda	#Output GgabaB
8	61	0.0155	0.25	0.75	0.7485	194.5	0.06434	0	0.3996	0.0889	0.2031	0.1138	0	0.1133	0.0929	0.3406	0.04431	0	0.1	0.03683	0.008116
8	62	0.0205	0.29	0.71	0.707	194.3	0.06485	0	0.398	0.1097	0.2034	0.1148	0	0.1133	0.1674	0.3489	0.04376	0	0.1	0.03105	0.003632
8	63	0.024	0.42	0.58	0.674	193.5	0.06372	0	0.4012	0.1095	0.2048	0.1142	0	0.1133	0.06991	0.2009	0.04444	0	0.1	0.02222	0.001088
8	64	0.021	0.31	0.69	0.7294	193.7	0.06381	0	0.4028	0.1082	0.1891	0.1157	0	0.125	0.1743	0.8185	0.04487	0	0.1	0.03357	0.01941
8	65	0.017	0.27	0.73	0.7188	195.1	0.06283	0	0.4032	0.09425	0.2373	0.1146	0	0.1172	0.1259	0.6012	0.04437	0	0.1	0.06451	0.02004
8	66	0.025	0.41	0.59	0.6743	193.8	0.06395	0	0.3984	0.09237	0.2127	0.1151	0	0.125	0.1191	0.1632	0.04418	0	0.1	0.02154	0.00196
8	67	0.018	0.3	0.7	0.7245	193.7	0.06311	0	0.3996	0.1323	0.2692	0.1135	0	0.1133	0.1677	0.4024	0.04406	0	0.1	0.0213	0.003303
8	68	0.0155	0.26	0.74	0.7343	193.9	0.06423	0	0.392	0.09711	0.215	0.1156	0	0.1094	0.09295	0.1555	0.04387	0	0.1	0.01978	0.001714
8	69	0.015	0.27	0.73	0.678	193.6	0.06412	0	0.396	0.07447	0.1121	0.116	0	0.1133	0.1227	0.5397	0.04344	0	0.1	0.06302	0.01566
8	70	0.012	0.21	0.79	0.7476	194.2	0.06444	0	0.394	0.1014	0.3369	0.1174	0	0.1289	0.1319	0.563	0.04344	0	0.1	0.07019	0.01869
8	71	0.0235	0.4	0.6	0.6538	193.5	0.06515	0	0.3932	0.08009	0.3536	0.1188	0	0.1172	0.1107	0.3034	0.04363	0	0.1	0.04616	0.009905
8	72	0.0245	0.42	0.58	0.6414	194.1	0.06418	0	0.3936	0.1014	0.3041	0.1168	0	0.125	0.1165	0.5129	0.04268	0	0.1	0.07083	0.01499
8	73	0.025	0.41	0.59	0.6564	193.2	0.06448	0	0.3944	0.1124	0.2318	0.1169	0	0.1289	0.09011	0.229	0.04307	0	0.1	0.02447	0.002425
8	74	0.0255	0.45	0.55	0.639	193.3	0.06504	0	0.3936	0.07532	0.2864	0.1188	0	0.1367	0.08026	0.2541	0.04403	0	0.1	0.02024	0.002872
8	75	0.0265	0.45	0.55	0.6086	193.8	0.06525	0	0.3924	0.1165	0.3229	0.1176	0	0.1211	0.1684	0.6357	0.04346	0	0.1	0.0581	0.01858
8	76	0.026	0.46	0.54	0.634	193	0.0661	0	0.3944	0.1042	0.2792	0.1202	0	0.1289	0.05378	0.1268	0.04347	0	0.1	0.02058	0.001269
8	77	0.0315	0.53	0.47	0.6085	193.5	0.06578	0	0.3936	0.09108	0.3078	0.1197	0	0.1211	0.1165	0.4563	0.04433	0	0.1	0.05466	0.0068
8	78	0.03	0.53	0.47	0.6031	194	0.06505	0	0.3924	0.1007	0.2736	0.1177	0	0.125	0.1243	0.2957	0.044	0	0.1	0.02012	0.002011
